workload	keyspace	MOPS	MOPSActual
R	1024	0.68	120.45
R	2048	0.73	112.05
R	4096	0.79	98.47
R	8192	0.87	87.69
R	16384	1.07	102.36
R	32768	1.10	96.53
R	65536	1.03	83.17
R	131072	0.97	73.52
R	262144	1.10	62.16
R	524288	1.35	49
R	1048576	1.19	31.5
R	2097152	1.05	21.87
R	4194304	1.06	16.96
R	8388608	1.14	14.2
R	16777216	1.19	12.18
M	1024	0.73	55.8
M	2048	0.78	59.86
M	4096	0.82	59.06
M	8192	0.87	55.25
M	16384	0.94	50.56
M	32768	1.02	53.34
M	65536	1.11	57.54
M	131072	1.08	53.9
M	262144	1.07	49.2
M	524288	1.29	43.97
M	1048576	1.44	34.22
M	2097152	1.30	24.13
M	4194304	1.19	18.23
M	8388608	1.14	14.38
M	16777216	1.13	11.79
W	1024	0.81	26.45
W	2048	0.83	30.09
W	4096	0.87	31.77
W	8192	0.89	32.07
W	16384	0.90	30.57
W	32768	0.96	29.33
W	65536	1.01	30.98
W	131072	1.05	32.74
W	262144	1.03	31.66
W	524288	1.07	30.01
W	1048576	1.27	27.35
W	2097152	1.39	23
W	4194304	1.35	18.46
W	8388608	1.30	14.99
W	16777216	1.22	12.28