keyspace	worload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeeLength-castle	AvgSeeLength-icdcn	AvgSeeLength-ppop	AvgSeeLength-citrus	AvgSeeLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeeTime-castle	SeeTime-icdcn	SeeTime-ppop	SeeTime-citrus	SeeTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley
10000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.29	0.28	0.26	0.28	0.28	0.3	0.3	0.29	0.33	0.33	0.41	0.35	0.4	0.49	15.32	15.34	17.34	16.32	15.33	28.8	28.8	26.4	30.8	28.8	27.6	27.2	28	28.8	26.6	0.19	0.21	0.21	0.19	0.21	2.71	2.56	2.61	2.75	2.53	0.03	0.05	0.03	0.04	0.02	0.03	36.54	34.06	41.96	47.88	1.07	1.01	1.03	1.09	1
10000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0.29	0.29	0.27	0.3	0.32	0.33	0.33	0.34	0.37	0.6	0.87	0.68	1.17	0.9	15.23	15.28	17.29	16.34	15.28	28.8	28.8	26.4	30.8	28.8	32.6	34	28	35.6	31.6	0.21	0.23	0.22	0.21	0.23	5.15	4.98	5.11	5.19	4.77	2.62	5.09	1.85	3.97	1.11	2.62	77.71	67.01	73.52	69.07	1.08	1.04	1.07	1.09	1
10000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.31	0.3	0.4	0.32	0.34	0.35	0.35	0.52	0.39	0.65	0.92	0.74	1.54	0.99	15.38	15.27	17.24	16.25	15.31	28.8	28.8	26.4	30.8	28.8	45.4	42.6	27.6	39.8	42.2	0.23	0.24	0.24	0.29	0.25	9.74	9.58	9.74	6.67	9.05	4.61	9.51	3.35	30	2	4.61	77.98	67.97	94.6	70.32	1.08	1.06	1.08	0.74	1
10000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.32	0.3	0.48	0.33	0.35	0.36	0.35	0.62	0.41	0.67	0.93	0.76	1.77	1	16.02	15.89	17.2	16.35	15.92	28.8	28.8	26.4	30.8	28.8	56.8	54.4	27.4	46.8	57	0.24	0.24	0.24	0.34	0.26	19.14	18.95	19.56	10.66	17.64	4.18	9.24	3.21	38.25	1.91	4.18	77.31	67.43	85.77	68.79	1.09	1.07	1.11	0.6	1
10000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.33	0.34	0.31	0.56	0.34	0.37	0.37	0.36	0.73	0.42	0.69	0.95	0.75	2.25	1.03	18.42	18.24	17.17	16.79	17.96	28.8	28.8	26.4	30.8	28.8	77	77.4	27.2	56	74.8	0.26	0.26	0.24	0.38	0.27	36.62	35.46	38.43	17.86	34.27	3.96	8.75	3.08	41.11	1.82	3.96	76.76	66.29	78.82	67.43	1.07	1.03	1.12	0.52	1
10000	90-9-1	32	0	0	0	0	0.01	0.04	0	0	0	0	5.32	0.01	0	0.01	0.01	0.38	0.38	0.32	0.63	0.37	0.42	0.43	0.37	0.86	0.46	0.77	1.04	0.77	11.11	1.08	23.43	23.56	17.13	18.09	23.39	28.8	28.8	26.4	30.8	28.8	96	102	27.6	72	97.2	0.31	0.31	0.25	0.44	0.3	65.67	64.63	74.8	29.28	64.05	3.9	8.21	2.95	38.51	1.8	3.9	76.51	65.38	68.52	66.63	1.03	1.01	1.17	0.46	1
20000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0.33	0.31	0.3	0.32	0.32	0.34	0.33	0.34	0.36	0.37	0.45	0.4	0.46	0.52	16.8	16.81	18.76	17.8	16.81	31.4	31.4	30.2	33.4	31.4	29.8	29.8	31.2	31.2	29.2	0.22	0.26	0.24	0.24	0.25	2.49	2.35	2.38	2.46	2.3	0.02	0.03	0.02	0.02	0.01	0.02	32.68	33.16	41	44.97	1.08	1.02	1.03	1.07	1
20000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.34	0.32	0.32	0.34	0.35	0.38	0.37	0.39	0.4	0.63	0.94	0.72	1.22	0.94	16.71	16.71	18.77	17.7	16.72	31.4	31.4	30.2	33.4	31.4	29.6	29.2	32	31.6	29	0.24	0.27	0.25	0.25	0.26	4.82	4.49	4.6	4.62	4.32	1.55	2.45	1.27	2.47	0.76	1.55	76.03	66.17	72.91	66.59	1.12	1.04	1.06	1.07	1
20000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.35	0.34	0.43	0.36	0.37	0.39	0.39	0.56	0.42	0.69	0.96	0.78	1.57	1.03	16.62	16.65	18.69	17.66	16.61	31.4	31.4	30.2	33.4	31.4	33.6	31.2	31	31.8	31.6	0.26	0.28	0.27	0.32	0.28	9.19	8.58	8.9	6.42	8.3	2.68	4.6	2.32	19.26	1.35	2.68	75.62	67.47	93.89	68.03	1.11	1.03	1.07	0.77	1
20000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.35	0.34	0.53	0.37	0.38	0.39	0.39	0.67	0.44	0.7	0.95	0.78	1.81	1.04	16.57	16.56	18.62	17.6	16.57	31.4	31.4	30.2	33.4	31.4	41.4	41.2	31	33.4	40.2	0.27	0.28	0.27	0.38	0.3	17.96	17.33	17.78	9.9	16.21	2.37	4.52	2.21	28.8	1.26	2.37	75.25	66.51	84.69	66.55	1.11	1.07	1.1	0.61	1
20000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.36	0.34	0.61	0.38	0.4	0.4	0.4	0.79	0.45	0.72	0.96	0.79	2.29	1.06	16.71	16.66	18.6	17.58	16.67	31.4	31.4	30.2	33.4	31.4	55.8	53.6	31.2	43.8	57	0.28	0.28	0.28	0.43	0.31	35.1	34.3	35.34	16.73	32.2	2.19	4.43	2.1	31.96	1.18	2.19	74.66	65.7	77.25	65.09	1.09	1.07	1.1	0.52	1
20000	90-9-1	32	0	0	0	0	0	0	0	0	0	0	2.64	0	0	0.01	0	0.38	0.37	0.36	0.67	0.39	0.43	0.41	0.41	0.92	0.47	0.76	1.03	0.8	27.7	1.09	17.51	17.52	18.57	17.65	17.45	31.4	31.4	30.2	33.4	31.4	73.6	75.8	31	50.8	72.6	0.31	0.3	0.28	0.48	0.32	65.38	66.01	68.8	24.61	61.91	2.11	4.42	2.04	30.37	1.13	2.11	74.14	64.36	67.25	63.62	1.06	1.07	1.11	0.4	1
100000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0.46	0.41	0.44	0.4	0.38	0.48	0.43	0.48	0.44	0.43	0.6	0.49	0.6	0.62	20.34	20.37	22.2	21.37	20.36	37.8	37.8	36.2	39.8	37.8	37	38	38.2	39	36.8	0.29	0.38	0.34	0.37	0.32	2.15	1.77	1.95	1.85	1.93	0.02	0.02	0.02	0.03	0.02	0.02	26.22	30.1	38.62	40.68	1.11	0.92	1.01	0.96	1
100000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0.47	0.41	0.45	0.41	0.41	0.51	0.46	0.52	0.48	0.7	1.02	0.8	1.4	1.02	20.24	20.28	22.12	21.27	20.26	37.8	37.8	36.2	39.8	37.8	36.8	36.4	37.8	38.2	36.2	0.3	0.39	0.35	0.39	0.34	4.16	3.47	3.81	3.55	3.72	0.93	1.02	0.71	1.13	0.47	0.93	72.16	64.67	71.37	64.1	1.12	0.93	1.02	0.95	1
100000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0.48	0.43	0.54	0.43	0.44	0.53	0.49	0.67	0.5	0.76	1.09	0.86	1.7	1.1	20.15	20.18	22.06	21.19	20.16	37.8	37.8	36.2	39.8	37.8	36	36.2	37.8	37.8	36.2	0.32	0.41	0.36	0.44	0.36	7.99	6.74	7.44	5.45	7.25	1.61	1.9	1.29	8.07	0.86	1.61	72.2	64.7	92.39	64.49	1.1	0.93	1.03	0.75	1
100000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.48	0.44	0.63	0.44	0.45	0.53	0.49	0.77	0.52	0.77	1.09	0.87	1.92	1.12	20.03	20.06	21.99	21.12	20.05	37.8	37.8	36.2	39.8	37.8	36.4	36.2	37.4	38.8	36.2	0.34	0.41	0.37	0.49	0.37	15.71	13.5	14.54	8.91	14.3	1.41	1.87	1.25	15.26	0.8	1.41	71.45	64.42	83.01	64.32	1.1	0.94	1.02	0.62	1
100000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0.47	0.44	0.74	0.46	0.46	0.52	0.5	0.91	0.53	0.78	1.09	0.87	2.38	1.14	19.87	19.88	21.95	21.03	19.88	37.8	37.8	36.2	39.8	37.8	36.8	35.4	37.4	38.2	35.4	0.35	0.4	0.37	0.55	0.38	30.45	27.5	28.76	14.64	27.67	1.28	1.84	1.2	19.16	0.75	1.28	70.89	62.69	74.82	61.72	1.1	0.99	1.04	0.53	1
100000	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.45	0.48	0.45	0.82	0.47	0.5	0.53	0.51	1.04	0.54	0.83	1.13	0.89	45.04	1.17	19.81	19.79	21.9	20.99	19.81	37.8	37.8	36.2	39.8	37.8	36.8	37.4	37.6	38.4	36.4	0.38	0.41	0.38	0.61	0.4	56.91	53.46	56.56	19.88	53.96	1.21	1.85	1.17	18.99	0.73	1.21	70.12	61.3	67.66	61.14	1.05	0.99	1.05	0.37	1
200000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0.52	0.45	0.51	0.44	0.42	0.54	0.48	0.56	0.49	0.47	0.66	0.55	0.7	0.67	21.87	21.91	23.69	22.91	21.89	40.2	40.2	38.8	42.2	40.2	39.6	40.2	42.4	42.4	40.2	0.32	0.44	0.39	0.44	0.37	2	1.61	1.79	1.62	1.81	0.03	0.03	0.62	0.38	0.98	0.03	24.74	31.82	38.12	37.23	1.1	0.89	0.99	0.9	1
200000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.53	0.48	0.53	0.47	0.45	0.57	0.52	0.62	0.54	0.74	1.08	0.86	1.48	1.08	21.76	21.79	23.61	22.8	21.79	40.2	40.2	38.8	42.2	40.2	40.6	40.6	41.2	42.8	40.4	0.34	0.46	0.41	0.46	0.4	3.87	3.14	3.39	3.11	3.39	0.78	0.78	1.2	1.14	1.59	0.78	69.98	63.53	69.93	63.46	1.14	0.93	1	0.92	1
200000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0.55	0.5	0.61	0.49	0.48	0.59	0.55	0.75	0.56	0.79	1.15	0.92	1.78	1.17	21.66	21.69	23.54	22.72	21.68	40.2	40.2	38.8	42.2	40.2	40.2	39.6	41.4	41.4	39.6	0.36	0.47	0.43	0.52	0.42	7.4	6.06	6.51	4.97	6.55	1.37	1.41	1.68	6.04	2.03	1.37	70.07	63.88	91.85	64.85	1.13	0.93	0.99	0.76	1
200000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0.54	0.5	0.67	0.51	0.48	0.58	0.55	0.81	0.58	0.81	1.15	0.94	1.94	1.19	21.54	21.56	23.47	22.62	21.56	40.2	40.2	38.8	42.2	40.2	39.8	39	40.8	42	38.8	0.37	0.47	0.43	0.55	0.43	14.74	12.33	13.03	8.75	12.65	1.22	1.39	1.68	9.86	2.11	1.22	69.31	63.66	86.04	63.7	1.17	0.97	1.03	0.69	1
200000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0.54	0.51	0.77	0.52	0.49	0.59	0.56	0.94	0.59	0.82	1.16	0.94	2.33	1.21	21.44	21.45	23.41	22.53	21.45	40.2	40.2	38.8	42.2	40.2	39.2	38.8	40.2	40.6	38.4	0.38	0.47	0.43	0.6	0.45	28.95	24.64	25.79	14.61	25.03	1.13	1.37	1.69	14.03	2.19	1.13	68.61	62.54	76.1	62.75	1.16	0.98	1.03	0.58	1
200000	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0.47	0.55	0.52	0.84	0.53	0.52	0.6	0.57	1.05	0.61	0.85	1.19	0.96	30.47	1.24	21.32	21.34	23.36	22.48	21.33	40.2	40.2	38.8	42.2	40.2	37.8	38.8	39.8	40.8	38	0.4	0.48	0.45	0.65	0.46	55.13	48.08	50.74	21.76	48.97	1.08	1.37	1.72	14.76	2.31	1.08	67.76	62.09	69.05	61.83	1.13	0.98	1.04	0.44	1
1000000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.76	0.91	0.98	0.9	0.61	0.79	0.95	1.1	0.96	0.68	0.94	1	1.3	1.22	25.38	25.41	27.16	26.46	25.43	47.8	47.8	45.2	49.8	47.8	48	48.8	49.8	50.6	48.6	0.51	0.69	0.84	0.92	0.83	1.45	1.16	0.98	0.92	0.98	5.97	7.28	17.65	13.81	14.65	5.97	20.76	22.73	31.21	29.19	1.48	1.18	1	0.94	1
1000000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.89	1.1	1.12	1	0.72	0.93	1.15	1.27	1.07	1	1.37	1.28	2	1.47	25.31	25.34	27.13	26.39	25.36	47.8	47.8	45.2	49.8	47.8	47.6	47.8	48.8	49.8	47.8	0.6	0.82	1.03	1.06	0.93	2.56	1.99	1.66	1.61	1.78	7.62	7.58	17.28	12.46	15.43	7.62	57.07	44.24	53.5	44.78	1.44	1.12	0.93	0.9	1
1000000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0.97	1.19	1.25	1.04	0.78	1.01	1.24	1.42	1.11	1.13	1.56	1.45	2.43	1.6	25.21	25.25	27.05	26.3	25.26	47.8	47.8	45.2	49.8	47.8	47.6	47.4	49	49.4	47.8	0.67	0.9	1.12	1.16	0.97	4.7	3.69	3.08	2.77	3.44	9.05	7.52	17.09	14.04	16.36	9.05	60.38	51.32	88.95	49.96	1.37	1.07	0.9	0.81	1
1000000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	1	1.22	1.31	1.08	0.82	1.04	1.26	1.47	1.15	1.17	1.6	1.47	2.62	1.64	25.11	25.14	26.96	26.19	25.15	47.8	47.8	45.2	49.8	47.8	46.8	47.4	48.2	49.4	47.4	0.71	0.93	1.14	1.21	1.02	9.03	7.2	6.05	5.24	6.63	10.21	7.38	17.34	14.84	17.18	10.21	58.91	49.17	91.42	47.14	1.36	1.09	0.91	0.79	1
1000000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	1.02	1.23	1.34	1.14	0.87	1.06	1.28	1.51	1.21	1.22	1.61	1.5	2.84	1.69	25.01	25.04	26.87	26.1	25.06	47.8	47.8	45.2	49.8	47.8	46	45.6	47.6	48.4	46	0.75	0.94	1.17	1.24	1.07	17.27	14.14	11.93	10.12	12.67	11.32	7.38	17.8	15.36	18.33	11.32	58.08	47.43	82.37	44.37	1.36	1.12	0.94	0.8	1
1000000	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89	1.04	1.3	1.4	1.23	0.93	1.08	1.36	1.57	1.29	1.29	1.66	1.57	60.54	1.79	24.91	24.94	26.8	26.04	24.96	47.8	47.8	45.2	49.8	47.8	46.4	45.8	48.2	48.4	46.6	0.82	0.96	1.23	1.29	1.16	32.17	27.88	22.57	14.64	23.64	12.41	7.42	18.05	15.7	19.5	12.41	57.63	46.97	73	42.73	1.36	1.18	0.95	0.62	1
2000000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	1.07	1.24	1.4	1.32	0.86	1.17	1.3	1.56	1.39	0.96	1.26	1.35	1.76	1.66	26.85	26.85	28.41	27.94	26.85	50.2	50.2	49.4	52.2	50.2	52.2	52.8	52.8	55.2	53.2	0.75	1	1.18	1.34	1.25	1.08	0.85	0.74	0.66	0.7	11.35	13.2	22.55	20.31	20.99	11.35	26	25.95	30.78	32.95	1.54	1.21	1.06	0.94	1
2000000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91	1.23	1.47	1.52	1.4	0.96	1.33	1.53	1.71	1.47	1.2	1.6	1.6	2.44	1.83	26.82	26.84	28.52	27.9	26.84	50.2	50.2	49.4	52.2	50.2	51.2	51.4	52.6	53.4	51.2	0.84	1.16	1.4	1.47	1.32	1.96	1.46	1.27	1.21	1.32	12.55	13.5	22.37	19.13	21.5	12.55	48.68	40.24	47.45	42.99	1.48	1.11	0.96	0.92	1
2000000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	1.35	1.55	1.62	1.38	1.01	1.35	1.61	1.79	1.44	1.33	1.81	1.74	2.8	1.87	26.74	26.78	28.53	27.83	26.78	50.2	50.2	49.4	52.2	50.2	50.6	50.8	52.4	53.4	50.8	0.9	1.27	1.48	1.53	1.31	3.71	2.75	2.41	2.21	2.66	13.5	13.26	22.44	20.05	21.97	13.5	52.14	43.05	86.4	46.51	1.39	1.03	0.91	0.83	1
